handler,symphony,file path,sub-domain,Movement,Beat
normalizeTelemetryData,unknown,packages/self-healing/src/handlers/telemetry/normalize.data.ts,self-healing,Parse Telemetry,4
aggregateTelemetryMetrics,unknown,packages/self-healing/src/handlers/telemetry/aggregate.metrics.ts,self-healing,Parse Telemetry,5
storeTelemetryDatabase,unknown,packages/self-healing/src/handlers/telemetry/store.database.ts,self-healing,Parse Telemetry,6
parseTelemetryCompleted,unknown,packages/self-healing/src/handlers/telemetry/parse.completed.ts,self-healing,Parse Telemetry,7
validateRequested,unknown,unknown,unknown,Validate Fix,1
loadPatch,unknown,unknown,unknown,Validate Fix,2
applyPatch,unknown,unknown,unknown,Validate Fix,3
runTests,unknown,unknown,unknown,Validate Fix,4
checkCoverage,unknown,unknown,unknown,Validate Fix,5
verifyPerformance,unknown,unknown,unknown,Validate Fix,6
validateDocumentation,unknown,unknown,unknown,Validate Fix,7
aggregateValidationResults,unknown,unknown,unknown,Validate Fix,8
storeValidationResults,unknown,unknown,unknown,Validate Fix,9
validateCompleted,unknown,unknown,unknown,Validate Fix,10
unknown,unknown,unknown,unknown,movement-immediate,fix-quick-wins
unknown,unknown,unknown,unknown,movement-medium,fix-top-offenders
unknown,unknown,unknown,unknown,movement-medium,address-partials
unknown,unknown,unknown,unknown,movement-medium,fix-invalid-tags
unknown,unknown,unknown,unknown,movement-long,align-unmatched-handlers
unknown,unknown,unknown,unknown,movement-long,enable-ast-validation
unknown,unknown,unknown,unknown,movement-long,cover-uncovered-acs
unknown,unknown,unknown,unknown,movement-1,beat-1.1
unknown,unknown,unknown,unknown,movement-2,beat-2.1
unknown,unknown,unknown,unknown,movement-2,beat-2.2
unknown,unknown,unknown,unknown,movement-3,beat-3.1
unknown,unknown,unknown,unknown,movement-4,beat-4.1
unknown,unknown,unknown,unknown,movement-5,beat-5.1
unknown,unknown,unknown,unknown,movement-5,beat-5.2
unknown,unknown,unknown,unknown,movement-6,beat-6.1
unknown,unknown,unknown,unknown,movement-7,beat-7.1
unknown,unknown,unknown,unknown,movement-8,beat-8.1
ac-alignment/generate-registry#generate,unknown,unknown,unknown,AC Registry,generate-ac-registry
ac-alignment/tagging#publishGuide,unknown,unknown,unknown,Tagging Enablement,publish-tagging-guide
ac-alignment/tagging#adopt,unknown,unknown,unknown,Tagging Enablement,adopt-tags
ac-alignment/results#collectUnit,unknown,unknown,unknown,Result Collection,collect-vitest-jest
ac-alignment/results#collectE2E,unknown,unknown,unknown,Result Collection,collect-cypress
ac-alignment/compute#presence,unknown,unknown,unknown,Alignment Computation,compute-presence-coverage
ac-alignment/compute#thenHeuristics,unknown,unknown,unknown,Alignment Computation,compute-then-heuristics
ac-alignment/report#emitArtifacts,unknown,unknown,unknown,Reporting,emit-artifacts
ac-alignment/ci#enforceThresholds,unknown,unknown,unknown,CI Gate & Rollout,enforce-thresholds
ac-alignment/ci#rollout,unknown,unknown,unknown,CI Gate & Rollout,rollout
ac-alignment/tagging#suggest,unknown,unknown,unknown,Tagging Enablement,suggest-tags
ac-alignment/tagging#apply,unknown,unknown,unknown,Tagging Enablement,apply-tags
unknown,unknown,unknown,unknown,movement-1,beat-0
unknown,unknown,unknown,unknown,movement-1,beat-1
unknown,unknown,unknown,unknown,movement-1,beat-2
unknown,unknown,unknown,unknown,movement-2,beat-3
unknown,unknown,unknown,unknown,movement-2,beat-4
unknown,unknown,unknown,unknown,movement-3,beat-5
unknown,unknown,unknown,unknown,movement-3,beat-6a
unknown,unknown,unknown,unknown,movement-3,beat-6b
unknown,unknown,unknown,unknown,movement-3,beat-6c
unknown,unknown,unknown,unknown,movement-3,beat-7
unknown,unknown,unknown,unknown,movement-3,beat-8a
unknown,unknown,unknown,unknown,movement-3,beat-8b
unknown,unknown,unknown,unknown,movement-3,beat-8c
unknown,unknown,unknown,unknown,movement-4,beat-8
unknown,unknown,unknown,unknown,movement-4,beat-9
governance.handlers#validateJSONSchemaStructure,unknown,unknown,unknown,JSON Schema Validation,1
governance.handlers#validateOrchestrationDomainsRegistry,unknown,unknown,unknown,JSON Schema Validation,2
governance.handlers#validateSymphonyFiles,unknown,unknown,unknown,JSON Schema Validation,3
governance.handlers#validateSchemaSection,unknown,unknown,unknown,JSON Schema Validation,4
governance.handlers#reportJSONValidation,unknown,unknown,unknown,JSON Schema Validation,5
governance.handlers#startHandlerMappingVerification,unknown,unknown,unknown,Handler-to-Beat Mapping Verification,1
governance.handlers#loadHandlerImplementations,unknown,unknown,unknown,Handler-to-Beat Mapping Verification,2
governance.handlers#indexBeatsFromJSON,unknown,unknown,unknown,Handler-to-Beat Mapping Verification,3
governance.handlers#verifyBeatHandlerMapping,unknown,unknown,unknown,Handler-to-Beat Mapping Verification,4
governance.handlers#detectOrphanHandlers,unknown,unknown,unknown,Handler-to-Beat Mapping Verification,5
governance.handlers#reportHandlerMapping,unknown,unknown,unknown,Handler-to-Beat Mapping Verification,6
governance.handlers#startTestCoverageVerification,unknown,unknown,unknown,Test Coverage Verification,1
governance.handlers#catalogBeatsFromJSON,unknown,unknown,unknown,Test Coverage Verification,2
governance.handlers#indexTestFiles,unknown,unknown,unknown,Test Coverage Verification,3
governance.handlers#analyzeTestCoverage,unknown,unknown,unknown,Test Coverage Verification,4
governance.handlers#identifyUncoveredBeats,unknown,unknown,unknown,Test Coverage Verification,5
governance.handlers#reportTestCoverage,unknown,unknown,unknown,Test Coverage Verification,6
governance.handlers#startMarkdownConsistencyCheck,unknown,unknown,unknown,Markdown Consistency Verification,1
governance.handlers#extractFactsFromJSON,unknown,unknown,unknown,Markdown Consistency Verification,2
governance.handlers#identifyMarkdownFiles,unknown,unknown,unknown,Markdown Consistency Verification,3
governance.handlers#verifyFactsInMarkdown,unknown,unknown,unknown,Markdown Consistency Verification,4
governance.handlers#detectMarkdownContradictions,unknown,unknown,unknown,Markdown Consistency Verification,5
governance.handlers#reportMarkdownConsistency,unknown,unknown,unknown,Markdown Consistency Verification,6
governance.handlers#startAuditabilityVerification,unknown,unknown,unknown,Auditability Chain Verification,1
governance.handlers#loadJSONDefinitions,unknown,unknown,unknown,Auditability Chain Verification,2
governance.handlers#createCodeMappings,unknown,unknown,unknown,Auditability Chain Verification,3
governance.handlers#createTestMappings,unknown,unknown,unknown,Auditability Chain Verification,4
governance.handlers#createMarkdownMappings,unknown,unknown,unknown,Auditability Chain Verification,5
governance.handlers#verifyChainCompleteness,unknown,unknown,unknown,Auditability Chain Verification,6
governance.handlers#reportAuditability,unknown,unknown,unknown,Auditability Chain Verification,7
governance.handlers#startConformityAnalysis,unknown,unknown,unknown,Overall Governance Conformity,1
governance.handlers#aggregateGovernanceResults,unknown,unknown,unknown,Overall Governance Conformity,2
governance.handlers#calculateConformityScore,unknown,unknown,unknown,Overall Governance Conformity,3
governance.handlers#summarizeViolations,unknown,unknown,unknown,Overall Governance Conformity,4
governance.handlers#makeGovernanceDecision,unknown,unknown,unknown,Overall Governance Conformity,5
governance.handlers#generateGovernanceReport,unknown,unknown,unknown,Overall Governance Conformity,6
governance.handlers#concludeGovernanceEnforcement,unknown,unknown,unknown,Overall Governance Conformity,7
orchestration/build-pipeline.build.validation#loadBuildContext,unknown,unknown,unknown,Validation & Verification,load-context
orchestration/build-pipeline.build.validation#validateOrchestrationDomains,unknown,unknown,unknown,Validation & Verification,validate-domains
orchestration/build-pipeline.build.validation#validateGovernanceRules,unknown,unknown,unknown,Validation & Verification,validate-governance
orchestration/build-pipeline.build.validation#validateAgentBehavior,unknown,unknown,unknown,Validation & Verification,validate-agent
orchestration/build-pipeline.build.validation#recordValidationResults,unknown,unknown,unknown,Validation & Verification,record-validation
orchestration/build-pipeline.manifests#regenerateOrchestrationDomains,unknown,unknown,unknown,Manifest Preparation,regenerate-domains
orchestration/build-pipeline.manifests#syncJsonSources,unknown,unknown,unknown,Manifest Preparation,sync-json-sources
orchestration/build-pipeline.manifests#generateManifests,unknown,unknown,unknown,Manifest Preparation,generate-manifests
orchestration/build-pipeline.manifests#validateManifestIntegrity,unknown,unknown,unknown,Manifest Preparation,validate-manifests
orchestration/build-pipeline.manifests#recordManifestState,unknown,unknown,unknown,Manifest Preparation,record-manifests
orchestration/build-pipeline.packages.build#initializePackageBuild,unknown,unknown,unknown,Package Building,initialize
orchestration/build-pipeline.packages.build#buildComponentsPackage,unknown,unknown,unknown,Package Building,build-components
orchestration/build-pipeline.packages.build#buildMusicalConductorPackage,unknown,unknown,unknown,Package Building,build-musical-conductor
orchestration/build-pipeline.packages.build#buildHostSdkPackage,unknown,unknown,unknown,Package Building,build-host-sdk
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,Validation Bootstrap,bootstrap-scan
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,bootstrap,scan-cag-workflow
fractal.narration#fractalNarrator,unknown,unknown,unknown,bootstrap,fractal-domain-identified
fractal.narration#fractalNarrator,unknown,unknown,unknown,bootstrap,fractal-domain-orchestrated
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,bootstrap,scan-orchestration-files
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,bootstrap,scan-conductor-symphonies
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,bootstrap,scan-audit-session
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,bootstrap,scan-audit-system
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,Registry Discovery,scan-registry
analysis.conformity#validateHandlerMapping,unknown,unknown,unknown,Validation,validate-sequence-files
analysis.conformity#validateHandlerMapping,unknown,unknown,unknown,Validation,validate-npm-scripts
analysis.conformity#calculateConformityScore,unknown,unknown,unknown,Validation,compute-compliance-score
analysis.conformity#generateAnalysisReport,unknown,unknown,unknown,Reporting,generate-audit-report
analysis.discovery#scanOrchestrationFiles,unknown,unknown,unknown,bootstrap,stage-demo-for-po
header/ui#getCurrentTheme,unknown,unknown,unknown,Initialization,resolve-theme
header/ui#toggleTheme,unknown,unknown,unknown,Initialization,apply-theme
control-panel/ui#initConfig,unknown,unknown,unknown,Initialization,init-control-panel
control-panel/ui#initResolver,unknown,unknown,unknown,Initialization,init-resolver
control-panel/ui#registerObservers,unknown,unknown,unknown,Initialization,register-observers
control-panel/ui#notifyReady,unknown,unknown,unknown,Initialization,notify-ready
canvas-component/update#updateAttribute,unknown,unknown,unknown,Build,update-attribute
